VALUE	ABB	AVL
195711356	38	15
595744998	31	16
475199097	37	18
1165143726	42	19
4166427	39	16
719918507	28	17
1946874563	30	16
535016159	37	16
924041702	39	16
1331201819	33	17
1373344581	36	15
2095474707	32	15
551493684	34	16
1303468536	32	15
143429670	42	16
1599746846	39	16
1229553164	44	15
1564299282	40	17
2006686793	35	17
410150941	33	15
1388166064	38	16
193972506	37	14
839522689	34	16
542965737	40	15
228319492	35	14
1290756338	32	15
1547903231	33	17
108107946	42	16
1293493095	38	16
122255967	44	17
1478575657	41	16
1489204452	40	17
718000965	34	16
1953774755	34	17
506864530	39	16
722167393	31	18
526209614	40	16
306255445	33	16
1257183552	38	16
1450251316	39	16
1637457265	35	15
483044486	34	14
1398242376	38	16
41467301	37	17
1786513022	37	15
1541672046	36	15
1641214147	35	15
868582539	42	15
958487680	41	15
1500417292	36	16
1278733480	37	16
199170096	39	17
1694389799	37	16
2118256169	33	16
742135834	32	17
1922709291	29	15
1261528859	35	17
142555417	42	16
2030817237	35	16
407538307	37	16
264811384	45	16
1361909247	37	16
1896742759	35	15
982812349	33	15
1168200354	39	18
256123641	41	16
1704979742	33	15
1694409968	35	16
562379086	36	17
814679647	40	16
997177636	37	17
52352703	41	17
1297724133	35	16
247936364	40	16
93820004	45	15
936753507	34	16
1789608410	36	16
1735034151	31	14
1805336046	30	16
600612443	35	16
1087967796	44	17
936585878	37	17
799782539	32	18
634873947	33	16
907358400	41	15
1541918373	35	16
410099590	32	15
21403611	36	15
1684473790	29	16
293433179	35	16
428941918	34	16
1949285174	37	17
1655342426	30	16
178201029	40	16
784613876	33	17
676059132	38	18
434324670	38	17
342109970	35	16
222985452	38	16
996703757	38	17
1156789617	39	18
1220163089	38	17
1049056460	40	18
307030102	37	16
1468099453	42	18
